"Document","Document (lien)","Titre","Activités","Complétude","Localisation","Altitude","Régions","Contributeur","Contributeur (lien)","Date","Type d'évènement","Nombre de participants","Participants associés","Nombre de personnes touchées","Intervention des services de secours","Gravité","Niveau de risque d'avalanche","Pente de la zone de départ","Âge","Sexe","Implication dans la situation","Niveau de pratique","Fréquence de pratique dans l'activité","Nombre de sorties","Blessures antérieures","Résumé","Description","Lieu","Étude de l'itinéraire","Conditions","Préparation physique et niveau technique","Motivations","Gestion du groupe","Niveau de l'attention et évaluation des risques","Gestion de l'horaire","Mesures et techniques de sécurité mises en oeuvre","Éléments ayant atténué les conséquences de l'évènement","Éléments ayant aggravé les conséquences de l'évènement","Conséquences sur les pratiques","Conséquences physiques et autres commentaires","Itinéraires associés","Sorties associées","Articles associés"
"919948","https://www.camptocamp.org/xreports/919948","Glissade sur le Tresenta","neige glace mixte","ébauche","[808580.5872844943:5701029.190906236]","3400","Italie,Grand Paradis,Vallée d'Aoste","aamchamonix","https://www.camptocamp.org/users/613232","2017-07-10","chute encordé","6","https://www.camptocamp.org/users/613232","2","oui","De 4 jours à 1 mois",,,"33","H","témoin direct","débrouillé","2 à 3 fois par mois","15 et plus",,,,,,,,,,,,,,,,,,,
"1076283","https://www.camptocamp.org/xreports/1076283","Vent violent et pluie au col d'Anterne","randonnée","bon","[756572.9004223124:5777180.0277753575]","2257","France,Haute-Savoie,Haut Giffre - Aiguilles Rouges - Fiz","MICHEL","https://www.camptocamp.org/users/1069163","2017-07-08","autre","1","https://www.camptocamp.org/users/1069163","1",,"pas de blessure",,,"55","H","victime principale","débrouillé","1 fois par mois","15 et plus","autres blessures","A l'arrivée au col d'Anterne, survenue brutale d'une averse et d'un vent violent.","6° jour sur le GR 5 depuis Thonon.
La météo annonce de la pluie, avec des orages dans l'après-midi; Je suis à Samoëns, et compte tenu des prévisions, j'ai réservé une place au refuge de Moëde-Anterne pour le soir.
Je n'ai pu démarrer la journée qu'à 7h50 sous un ciel couvert, car l'hôtelier n'a pas voulu me servir le petit déjeuner avant 7h15. En revanche il m'a déposé au Pont-Perret, ce qui m'avance d'une heure (il reste tout de même 7h00 de marche). 
Je parviens au pied du col d'Anterne vers 14h00. Dans la montée le ciel s'obscurcit encore plus, et juste quand j'arrive au col, survient un vent violent et des trombes d'eau. Il m'est impossible de descendre car je n'ai plus de visibilité et la descente est très abrupte et exposée.
Les choses se calment en 5 minutes et je peux repartir et arriver au refuge.",,"Copies de carte IGN Top 25, Topoguide de la FFRP, itinéraire préparé la veille","Prévisions météo : pluie et orages dans l'après - midi.","Je m'étais préparé durant toute l'année (running), mais sans avoir la possibilité de faire autant de dénivelé.
J'ai été assez éprouvé par les 2 premières étapes. Les étapes suivantes ont été mois difficiles.","La veille, j'ai hésité entre réserver au refuge des chalets d'Anterne, avant le col et le refuge de Moëde-Anterne, après le col. 
J'ai finalement pris la 2° solution car j'avais du retard sur mon plan de marche.",,,"Horaire tenu, mais il aurait fallu pouvoir partir plus tôt (idéalement 6h00), ou alors il aurait fallu faire étape aux chalets de Moëde Anterne (où je suis arrivé à 12h50).","Aucune","Brièveté du phénomène.
Pas de foudre.",,"Eviter les étapes de plus de 6h30. Prévoir, autant que possible des jours supplémentaires pour pouvoir raccourcir des étapes si la météo l'impose, ou un itinéraire alternatif en cas de retard.","Aucune",,,
"902794","https://www.camptocamp.org/xreports/902794","Chute en crevasse","neige glace mixte","vide","[772501.8289989036:5756774.192685778]","3300","France,Haute-Savoie,Mont-Blanc","Aurélien Degeneve","https://www.camptocamp.org/users/854469","2017-07-08","chute en crevasse","2","https://www.camptocamp.org/users/854469","2",,"pas de blessure",,,,,"témoin direct","expert",,,,"Suite à un changement de course à cause du mauvais temps, voulant partir sur la voie normale de la Dent, nous avons dévier sur les Marbrées, à la descente, nous avons aperçu une cordée en difficulté au niveau de la voie normale de la Dent. Environ à 30 min de nous et aucuns moyens de secours aérien à cause des conditions déplorables. ","Un guide international et son client, pont de neige instable au niveau de la cassure du glacier du Géant, le client est passé à travers. Nous avons appeler directement les secours en voyant le premier corder attirer vers le trou. En nous rendant compte de la difficulté et des conditions nous avons pris la décision d'aller les aider. Le guide refusant la venue des secours. ","Crevasse pourtant visible au niveau du virage du glacier du Geant, menant à la voie normale de la Dent. ",,,,,,,"Nous avions prévu notre horaire de course par rapport au conditions médiocre annoncées.",,,,,,"https://www.camptocamp.org/routes/54431",,
"914114","https://www.camptocamp.org/xreports/914114","Aig centrale d'arves","rocher haute-montagne,randonnée","bon","[705551.6155680498:5641494.95986678]","3400","France,Savoie,Grandes Rousses - Arves","wayne1965","https://www.camptocamp.org/users/442228","2017-07-06","défaillance physique,chute d'une personne,chute de pierres","1","https://www.camptocamp.org/users/442228","1","oui",,,,"64","H","témoin extérieur","expert","2 à 3 fois par mois","15 et plus","autres blessures","He fell ~200m onto rocks and died","Following the normal route from the hut to the aig centrale d'arves
solo but with rope/harness in case of need and hard hat
only two others on the hill that day ... who reported back to the hut that he had arrived at the summit and had started following them down","normal route of aig/ centrale d'arves, on the way down  before starting the final traversed back to the col",,"several days of bad weather followed by stunning hot days and blues skies
expect the route to be mostly dry with very little snow ... expect no need for crampons or axe","active climber and hill walker in a permanent state of readyness","to get out in the hills",,"technical difficultly 3b is well within the man's abilities (6b)","slow but not too slow","solo with rope to allow for rappels or self belay if required",,"fragile rock
",,"the injuries were fatal .... 200m fall over rocks",,,
"901705","https://www.camptocamp.org/xreports/901705","Chute de pierre à l'attaque de l'éperon SE du Minaret","rocher haute-montagne","bon","[780716.2055440301:5772673.009027997]",,"France,Haute-Savoie,Mont-Blanc","Jean-Baptiste","https://www.camptocamp.org/users/144091","2017-07-04","chute de pierres","2","https://www.camptocamp.org/users/144091","1",,"De 1 à 3 jours",,,"33","H","victime principale","expert","au moins 3 fois par semaine","15 et plus","autres blessures","Chute de pierre à l'attaque","Une chute de pierre provenant certainement de rasta métal ou plus à droite de la face a toucher le bars droit de la ""victime"" lors de l'assurance du leader dans le première longueur (assureur sur le socle à l'attaque de la voie). 
La pierre de petite taille à provoqué une ""béquille"" sur la partie haute du bras droit. Demi tour à R1 descente encore possible devant la douleur à la grimpe. ","A l'attaque de l'éperon SE du Minaret, massif du mont blanc. ",,"Conditions très sèches, mais chutes de neige importantes 2 jours avant. Dès que le soleil a tapé la face, petites chutes de pierres arrosant toute la fin de l'approche et le départ de la voie (mais pas L1, juste le socle)","Physique ok et technique ok, pas de soucis de ce côté ","Choix de la voie : réputé très belle et les conditions étaient très bonne","NA","Les gardiens nous ayant prévu d'un risque de chute de pierre au niveau du socle, nous étions particulièrement attentif, mais à priori pas suffisamment ... ","Horaires prévu, pas en cause","Non nécessaire","NA","NA","NA","Aucune","https://www.camptocamp.org/routes/372638",,
"914268","https://www.camptocamp.org/xreports/914268","Rocher (pas) ecole du refuge d'Argentière","escalade","bon","[779831.5495506959:5771906.745689099]",,"France,Haute-Savoie,Mont-Blanc","RaphPyr","https://www.camptocamp.org/users/433572","2017-07-01","chute d'une personne,chute encordé","2","https://www.camptocamp.org/users/433572,https://www.camptocamp.org/users/522854","1",,"De 1 à 3 jours",,,"30","H","victime principale","débrouillé","1 à 2 fois par semaine","15 et plus",,"Dans une voie (plutot celle de droite en regardant la paroi) du rocher école au dessus du refuge d'Argentière, chute suite à une prise de rocher mouillé et perte d'équilibre.","Voie pas vraiment équipée avec 1 spit à 3-4m puis un vieux golo de 8mm à 15m et un piton à 20m.
Pose de friends supplémentaires nécessaires.
Dans le haut de la voie, derrière un bloc la prise de main était mouillée et je n'ai pas pu rattraper mon déséquilibre du fait de mes pieds qui étaient dans une fissure.
Chute de 7-8m à cause d'un friends mal pose et qui a sauté. Repris par le spit de 8mm en dessous. Aterrissage sur le dos ayant entrainé des écorchures.","Rocher école du refuge d'Argentière","Une des voies de droites celle en 5c+","Rocher bon mais la matinée fut lourde, très brumeuse et surtout très humide.
Après midi plus claire et rocher qui a partiellement séché.","condition physique ok
entrainement pour l'escalade moyen mais ok dans le 5+","Objectif de faire quelque chose l'après midi après une matinée très humide. 
C'était la voie : ""Allez une dernière et on rentre?""","Cordée régulière depuis plusieurs années mais peu entraînée cette année.","Grimpe un peu trop relachée malgré l'absence d'un équipement type école
Sans doute un peu de fatigue due à l'altitude (sortie d'acclimatation)","Non mais pas vraiment nécessaire (10min depuis le refuge)","Friends en complement des protections en place","Spit de 8mm en place","Le dernier friends pose (BD 0.75 rouge) a sauté lors de la chute","Gros but psychologique le lendemain dans du 4+ pas équipé (voie Le Gateau de Riz)","Brulure au second degree de la cheville gauche à cause de la corde qui s'est prise derrière la jambe (dû au friends qui a sauté).
J'aurais certainement du dire non à mon partenaire quand il m'a proposé de faire la fameuse ""une dernière pour toi et on rentre"". Mais je me sentais bien pour y aller.","https://www.camptocamp.org/routes/828015",,
"899631","https://www.camptocamp.org/xreports/899631","Chute de pierre, blessure et évacuation","escalade","bon","[674596.1142072378:5622466.112857012]","850","France,Isère,Écrins","jeanluca","https://www.camptocamp.org/users/436960","2017-06-24","chute de pierres","3","https://www.camptocamp.org/users/436960","1","oui","De 1 à 3 jours",,,"51","H","témoin direct","débrouillé","1 à 2 fois par semaine","15 et plus",,"Grande voie à 3, grimpe en flêche. 
Grimpeuse de tête touchée au pied par un bloc venu de haut (chamois?). 
Choquée, souffrante et incapable de tenir sur son pied. 
On la rejoint en corde tendue et on appelle les secours.
Evacuation des 3 en hélicoptère sécurité civile (BRAVO ET MERCI).","Grimpe à 3 en flêche. 
On pensait faire entre 7 et 9 longueurs de la voie, pour notre première fois tous les trois en grande voie.
Notre grimpeuse de tête ne s'arrête pas au relais de L5, par erreur, et le dépasse de 2-3 points, dans L6, et se vache sur un point. Ensuite une chute de pierre de haut se produit. Elle seule est touchée, par un rebond de bloc, au pied, elle crie de douleur et craint de s'évanouir. Elle demande qu'on la rejoigne
Au relais de L4, nous avons ~10m de corde à double libre. Je me décorde et passe mon brin à JM. Je m'encorde au plus haut sur les 2 brins qui pendent de la grimpeuse (noeud de chaise à double, sa boucle sécurisés par mousqueton sur le pontet). On monte en corde tendue. 2 points plus haut, endroit plus confort, je me vache sur le point et me décorde pour m'encorder un peu plus haut sur les cordes et augmenter la distance avec mon second.
On continue. Du stress car à 2 reprises, il n'y a qu'un seul point entre nous 2, avec des pas 5b ou 5c, ce qui n'est pas confort pour nous deux. Aucun signe de notre grimpeuse.
On arrive au relais de L5 et on la voit. On parle et on décide que je la rejoins. JM se décorde pour que je sois sur les 2 brins, et assuré du relais par JM, qui est vaché dessus.  Je pars.
Problème, 1 brin de nos ~30m de corde qui pend sous nous s'est coincé dessous. Je me décorde du brin coincé, JM le récupère et je continue sur 1 brin. On est sur du 4-5, ca va.
Je rejoint notre grimpeuse. Elle ne tient pas debout, a très mal, est enflèe et coupèe à hauteur du tendon d'achille. Je lui donne de l'eau, du paracétamol et on appelle les secours car la descente en rappel parait bien difficle, sans compter la marche ensuite. Peur d'aggraver sa blessure ou qu 'elle ne tourne de l'oeil.
Ensuite, la sécurité cicile arrive et décide de nous embarquer tous. JM et moi pouvions descendre mais c'est clairement eux les pros, on suit.
Ensuite, grimpeuse déposée à l'hopital, et nous dans la vallée. 
Merci aux secours. Très pros, et sympas.","Paroi en face de la centrale de Pont Escoffier, basse vallée du Vénéon.","JL connait la route, déjà faite 2 fois en tête.
Topo pris en photo sur nos 3 smartphones.","Météo bonne, grand soleil au départ de la voie.","Les 3 sont bien entrainés et le niveau de cette partie de la voie nous est accessible. 
Notre grimpeuse était confort en tête, mais souffrait de l'ensolleillement, malgré l'exposition NE.","Niveau tout à fait faisable pour nous, on n'allait pas faire les longueurs en 6a ou 6b, tout dans le V. Donc ok.
Choix de cette voie pour l'exposition NE car Linet supporte mal le soleil, et car on peut descendre en rappel dans la voie.
JL connaissais l'itinéraire d'accès et la voie jusqu'à L9","objectif clair: une grande voie entre amis, pas de performance, juste grimper ensemble.
On a tous fait des GVs mais jamais ensemble encore.
La grimpe se passait bien, sauf Linet qui souffrait du soleil.
Rythme plutôt lent, notamment avec perte de temps au relais, mais pas de pb côté horaire pour autant. En plus on pouvait arrêter à tout moment.
Chutes de pierre venant de haut dans L2 ou L3. ok ca arrive...
Mais Linet souffrait de plus en plus du soleil et on pensait probablement redescendre après une pause à l'ombre en haut de la vire herbeuse.","Certainement 3 facteurs ayant aggravé la situation:
- JL pensait et a dit que Linet se lancait dans la longueur qui arrivait sur la vire, alors qu'il y avait un relais intermédiaire.
- Linet a vu le relais, mais il était en plein soleil et a pensé pouvoir rejoindre le suivant.
- la chute de pierre, indépendente des autres facteurs, a foutu le bazard avec le grimpeuse blessée et vachée bien plus haut sur 1 seul point.","Horaire bien géré, ce n'était pas le problème.","Technique de sécurité ""type CAF"" mais improvisations pour la grimpe corde tendue après l'accident.","Pas de suraccident, notamment sur la phase corde tendue...
La blessée ne s'est pas évanouie, 
On avait boisson, barres energetique, et vêtement .  Et téléphones!
Le téléphone passait bien.
Les secours nous ont pris en charge.
Pas d'autre chute de pierre ensuite, notamment pendant le secours hélico.
","Aucun","Nous allons faire un debrief et essayer de voir ce qu'on aurait pu, ou dû mieux faire. 
Ce rapport par exemple.
Les 3 vont continuer la grande voie, et ensemble avec plaisir. :-)
Aucun ne veut devenir chasseur pour autant. ;-)","Une blessure et arrêt du sport pendant quelques semaines pour Linet.
Coup de stress pour les 3. 
JM et JL se sont bien concertés avant toute initiative pour secourir Linet.
Peut-être aurait-on du appeler de suite sans essayer de la rejoindre? Ou utiliser d'autres méthodes pour la rejoindre?
J'ai essayé d'être factuel sur la description, en tout cas.","https://www.camptocamp.org/routes/54927",,
"934391","https://www.camptocamp.org/xreports/934391","Détachement d'un gros bloc (30kg en L5) Blessure à la cheville","escalade","moyen","[740045.9635411799:5606942.541420925]",,"France,Hautes-Alpes,Cerces - Thabor - Mont-Cenis","david","https://www.camptocamp.org/users/878862","2017-06-18","chute de pierres","2","https://www.camptocamp.org/users/755920,https://www.camptocamp.org/users/878862","1",,"De 4 jours à 1 mois",,,"29","H","victime principale","autonome","1 à 2 fois par semaine","de 0 à 4",,"Arrachement d'un bloc de 30kg au 1er point de la L5.  Blessure à la cheville. Le second arrive à se protéger à temps.","Dans la L5 du pilier gris, après le 1er point j'aggripe une excellente prise main droite. En tirant dessus un bloc d'environ 30kg se détache, glisse de 20cm sur la dalle et reste bloqué sur ma cuisse, ramenée à l'horizontale. Heureusement ma main gauche tiens bien, mes pieds aussi. Mon assureur est 4m droit sous le bloc. Il a le temps de se dégager sur le côté puis je lâche le bloc (impossible autrement). En tombant il heurte ma cheville.
Je redescends au relais constater les dégâts: saignement abondant au niveau de la malléole de la cheville, pas de douleur forte.
Je mets en compression avec un mouchoir et une chaussette serrée. On prend le temps de boire et manger un coup pour se remettre de nos émotions puis on rebrousse chemin en rappel au R4. De là on s'échappe pas un couloir raide mais praticable. Arrivé à la voiture, l'enlève la compresse et la douleur arrive ! Heureusement il y a une pharmacie à 100m et les urgences à 500 m.","Voie du pilier gris, au 1er point dans la L5.",,"Beau temps, pas trop chaud.","3e jour d'escalade dans le coin","Voie assez facile (je suis débutant en grande voie) par contre plus longue que prévue (mauvaise lecture du topo)","Très bonnes relations/communication","Accident peu prévisible. Nous sommes restés calmes tout du long. Pas de précipitation.","Durée plus longue que prévue",,"Le bloc est resté coincé sur ma jambe, cela a permis à l'assureur de s'écarter de sa trajectoire.","En tombant, le bloc a vraisemblablement heurté ma cheville. Je n'ai rien senti sur le coup, seulement constaté en redescendant au relais",,"1 semaine à bien boiter, 2e visite aux urgences à J+2 car forte douleur, probablement due à l’hématome. ","https://www.camptocamp.org/routes/189632",,
"895286","https://www.camptocamp.org/xreports/895286","Chute de pierre et danger fort de très grosse chute de pierre à la Tour Termier","escalade","bon","[717626.4407343962:5629863.914155797]",,"France,Hautes-Alpes,Cerces - Thabor - Mont-Cenis","baudouin","https://www.camptocamp.org/users/895285","2017-06-11","chute de pierres","3","https://www.camptocamp.org/users/895285","0",,"pas de blessure",,,,,,,,,,"on a recu un bloc de 300kg au relais de la 4éme longueur d' 'Allo la Terre'. Il reste probablement quelque tonnes de cette même écaille en voie d'éffondrement","on a recu un bloc de 300kg au relais de la 4éme longueur d' 'Allo la Terre'. Il reste probablement quelque tonnes de cette même écaille en voie d'éffondrement. 
Heureusement nous avons pu nous abriter sous un bloc au relais. Sinon....",,,,,,,,,,,,,,"https://www.camptocamp.org/routes/55309",,
"893635","https://www.camptocamp.org/xreports/893635","Chute en crevasse à l'Aiguille d'entrèves","neige glace mixte","moyen","[769180.8346300678:5755384.456922938]",,"France,Haute-Savoie,Mont-Blanc","alpicool","https://www.camptocamp.org/users/627094","2017-06-10","chute en crevasse","2","https://www.camptocamp.org/users/627094","1",,"pas de blessure",,,"27","F","victime secondaire","autonome","2 à 3 fois par mois","de 10 à 14",,,"Lors de la descente après la traversée des aiguille d'Entrèves, ma compagne a chuté dans une crevasse.

La crevasse se situait au dessus de la rimaye, sur la trace.

J'ai crée un corps mort puis un guide est venu m'aider à sortir ma compagne grâce à un mouflage. Elle est sortie saine et sauve.

Finalement nous avons décidé de ne pas traverser la rimaye et de descendre par la voie qui contourne la rimaye par la gauche.","Aiguille d'entrèves",,"Nous avons pris beaucoup de retard sur l'arête à cause d'une cordée escargot. Il était 15h au moment des faits.",,,,,"en retard par rapport à l'horaire. (+2h)","Corps mort et mouflage.","formations au CAF ",,,,,"https://www.camptocamp.org/outings/894139",
"894856","https://www.camptocamp.org/xreports/894856","Chute de pierre au Peigne","rocher haute-montagne","bon","[767612.3430047906:5763632.562509532]",,"France,Haute-Savoie,Mont-Blanc","Tim","https://www.camptocamp.org/users/664516","2017-06-07","chute de pierres","2","https://www.camptocamp.org/users/664516","1",,"pas de blessure",,,"35","H","victime principale","non autonome","2 à 3 fois par mois","de 10 à 14",,,,,,,,,,,,,,,,,,,
"891167","https://www.camptocamp.org/xreports/891167","Coulée sur le glacier des Pélerins (retour gds Mulets Plan de l'aiguille)","ski de randonnée","bon","[767225.2851353025:5763057.564020305]",,"France,Haute-Savoie,Mont-Blanc","Benoît Landeche","https://www.camptocamp.org/users/8976","2017-05-27","avalanche","7","https://www.camptocamp.org/users/8976,https://www.camptocamp.org/users/851551","0",,"pas de blessure",,,"52","H","témoin direct","débrouillé","1 fois par mois",,,"large coulée déclenchée par une chute de blocs dans la face nord du plan  ","retour du mont Blanc par les grands mulets
La trace traverse de vieilles(?) coulées.
La nouvelle coulée recouvre largement la trace juste après notre passage et juste avant le groupe qui nous suit .
Aucune victime mais une belle frayeur rétrospective
vidéo ici :https://drive.google.com/file/d/0BzoQ994NvdcLcmpqeFpnTXNJQ2M/view?usp=sharing
 ",,"La trace que tout le monde suit franchit la moraine en son point haut, puis traverse dans les pentes raides sous la face nord.
Il y a deux ans la trace franchissait la moraine plus bas et était moins exposée  ","condition printanière ",,,,,"retour un peu tardif malgrés un départ à 1h15  (mais c'est le Mt Blanc !)",,,,,,,"https://www.camptocamp.org/outings/888795",
"913353","https://www.camptocamp.org/xreports/913353","Chute en crevasse au glacier Blanc","neige glace mixte","bon","[712343.8856182923:5613168.364580764]","2900","France,Hautes-Alpes,Écrins","Bechetoille","https://www.camptocamp.org/users/913265","2017-05-25","chute en crevasse","2","https://www.camptocamp.org/users/913265","2","oui","De 4 jours à 1 mois",,,"38","F","victime principale","autonome","moins d'1 fois par mois","15 et plus",,"En descendant de Roche Faurio encordée , sur la trace de descente du Glacier Blanc, je suis passée au travers d'un pont de neige au niveau de la Pointe Cézanne, j'ai chuté dans une crevasse. ","Les conditions météo étaient excellentes depuis quelques jours, bien que la température soit assez élévée. Les infos prises au refuge donnaient les pentes sud en bonnes conditions.
Montées au refuge des Ecrins la veille, le jeudi 25 mai, sous un soleil exceptionnel et dans une neige très molle, nous avons opté pour le sommet de Roche Faurio le lendemain. 
Départ vers 6h du refuge des Ecrins, il fait dejà très bon mais la neige porte bien sur le glacier, c'est dans les pentes au pied de la pointe Xavier Blanc que nous commençons à nous enfoncer alors que l'itinéraire prend déjà le soleil.
La montée est assez pénible et laborieuse dans ces conditions et nous ralentissons encore dans la pente sous le sommet rocheux dans des grosses épaisseurs de neige.
A la vue de l'arête rocheuse, une centaine de mètres avant le sommet, nous décidons de faire demi-tour vu la chaleur qui s'installe et l'état de la neige qui se dégrade.
La descente jusqu'au glacier est très rapide en glissant dans les pentes, puis vient ensuite la longue traversée du glacier blanc que nous abordons en raquettes.
Beaucoup de skieurs nous dépassent depuis plus d'une heure qui descendent nombreux de la barre ou du dôme des écrins notamment et qui filent bien plus vite que nous qui sommes à pieds.
Vers 12h nous arrivons presque au bout du glacier et nous apercevons le virage ou le chemin reprend pied sur la moraine à quelques centaines de mètres devant nous. On aperçoit des petites crevasses ouvertes sur le rebord de la rive gauche du glacier, et nous passons au large de ces trous en restant sur la trace.
Dans une petite descente, je sens que mon pied s'enfonce plus profondément et en moins d'une seconde tout mon corps le suit et je me retrouve suspendue à la corde.
J'ai les pieds qui pendent dans le vide au dessus d'un grand trou d'environ 7 ou 8 mètres. Mes bâtons sont plantés à la surface et j'arrive tout juste à tirer dessus pour arriver à voir au dessus de la neige. Mais je ne peux absolument pas bouger plus, coincée par mon sac à dos et ne pouvant atteindre les rebords de la crevasse (plus large que le trou) avec mes pieds.
A l'autre bout de la corde, Béatrice a bien stoppé la chute. Elle s'assoit sur le chemin et me maintient suspendue tout en appellant à l'aide (cris et sifflements) un skieur qui est en train de monter vers nous depuis le refuge du glacier blanc.
Celui-ci fait demi-tour après nous avoir fait des signes. Il est allé prévenir les secours même si nous ne le comprenons pas sur le moment.... s'il se reconnait je l'en remercie même si ce mot est encore bien trop faible pour exprimer ma gratitude...
Pendant ce moment nous pouvons nous parler d'un bout à l'autre de la corde et nous nous mettons d'accord pour que Béa essaye de me hisser avec un mouflage après m'avoir bloquée sur un corps mort. 
La tension de la situation rend bien évidemment tout cela plus compliqué à faire que cela n'apparait dans ce récit même si nous nous sommes souvent entrainées à réagir à ces situations, c'est la première fois que nous sommes confrontées à un sauvetage en crevasse réel. Les gestes sont donc fébriles et moins efficaces. 
Béa plante du mieux qu'elle peut son piolet dans une neige cependant peu compacte. Elle y pose une sangle et y transfère mon poids. Elle y installe la poulie et s'éloigne du point pour me hisser.
Elle commence à tirer mais au bout de quelques à coups, le piolet saute et je dégringole au fond de la crevasse en chutant d'environ 6 ou 7 mètres.
J'encaisse plusieurs chocs en tapant sur les deux parois de la crevasse jusqu'à me retrouver stoppée au fond (et sur mes pieds). Je constate avec stupéfaction que je ne suis pas blessée et j'arrive en me contorsionnant entre ces deux murs de glace étroits à retirer mon sac pour me rééquiper pour être capable de réagir. Je me couvre, j'enlève les raquettes, remets mes crampons et récupère mon piolet attaché au sac, je défais mes anneaux de corde pour avoir plus de marge de manœuvre.
Béatrice m'entend moins bien mais j'arrive à lui dire que je vais bien, même s'il est désormais plus difficile de communiquer. Malgré l'angoisse et la sidération, elle replante son piolet en corps mort encore plus profondément et tente de m'envoyer l'autre bout de la corde pour que je puisse l'aider à me hisser. Les essais de lancer sont infructueux. La corde se coince dans la neige au sommet de la crevasse et semble trop courte pour que je l'attrape. Elle relance à plusieurs reprises mais ça ne fonctionne pas et je me fais surtout doucher par les chutes de neige du sommet de la crevasse que cela engendre.
J'entreprends alors de remonter le long des murs de glace puisque je suis en état de grimper, et je demande à Béa de ravaler la corde au fur et à mesure.
Je m'aide des deux parois de la crevasse pour m'élever ce qui est facile au début mais plus compliqué rapidement quand l'écart s'élargit. Avec un seul piolet je me fais rapidement peur et je compense en plantant mes deux broches l'une après l'autre pour me vacher à chaque pas mais les manips sont laborieuses et couteuses en énergie et je ralentis largement dans ma progression.
Pendant ce temps là un skieur est passé sur le glacier et s'arrête à la hauteur de Béatrice qui l'appelle à l'aide. C'est une aide psychologique et un soulagement pour Béa de pouvoir être épaulée. D'autant qu'une minute plus tard, nous entendons le (doux) bruit d'un hélico en approche qui vient d'abord survoler la zone puis y dépose deux CRS sauveteurs en montagne.
Ils poseront finalement un corps mort plus solide avec les skis du dernier arrivé (Merci à lui aussi!) pour me hisser hors de la crevasse. 
Je réalise à ce moment là que j'ai froid et mal au genou. Je tremble et n'arrive pas à me réchauffer. Je suis finalement transférée vers l’hôpital de Briançon en légère hypothermie et avec une légère entorse au genou.
Tout cela a duré environ une heure entre la chute et le départ en hélicoptère, et j'ai du passer trois quarts d'heure dans la crevasse.




","Trace de descente du Glacier Blanc, sous la pointe Cézanne","Avec les conseils des gardiens du refuge des Ecrins et la carte IGN ainsi que les topos C2C nous avons opté pour Roche Faurio plutot que le Dôme des Ecrins aux vues de la quantité de neige et de nos envies à ce moment la.","Météo excellente.
Grande quantité de neige couplé à la chaleur importante qui faisait justement penser au risque de chute en crevasse, nous avons essayé de compenser en réalisant la course assez tôt et en descendant rapidement.","Je pratique l'apinisme et la montagne régulièrement dans l'année, et me sent prête à mener ce genre de courses facile. Béatrice est moins expérimentée en montagne mais connais les manips de secours que nous avions revues ensemble avant le départ et c'est une marcheuse aguerrie qui sait faire face à ce type d'effort et de contexte.
Nous étions peu acclimatées. Arrivées de Marseille l'avant veille, nous avons passé une nuit au pré de Mme Carle avant la montée au refuge des Ecrins histoire de ne pas cumuler tout le dénivelé en même temps.","Les courses au printemps dans les Ecrins sont toujours de belles sources de motivation pour moi. J'avais quatre jours de congés pour le pont de l'Ascension et les conditions météo et de fréquentations étaient tout à fait attractives. Beaucoup d'annulations de sortie dans l'année écoulée pour cause de mauvaise météo ont accentué mon avis de partir en montagne à ce moment là et sous ce temps radieux.
","Nous faisons très régulièrement de la montagne ensemble, surtout en rando en montagne, moins en alpinisme. Nous avons choisi cet objectif ensemble qui correspondait à nos envies. Encadrante Alpi au CAF de Marseille, c'est moi qui gère la course et les choix de progression et Béa me fait confiance là- dessus.","Nous avons fait demi-tour avant le sommet à cause des conditions de neige et de chaleur.
Niveau d'attention constant du début à la fin.
La trace nous semblait rassurante sur le glacier mais nous n'avons pour autant pas considéré qu'elle était sans risque (encordement et vigilance sur toute la longueur du glacier).  ","Sommet prévu à 9h, nous avons atteint le bas de l'arête rocheuse avec du retard et avons entamé la descente sans faire le sommet.","Encordement à 15 mètres sur glacier et encordement court dans les pentes sommitales.
Corps morts et mouflage pour la sortie de crevasse même si ceux-ci n'ont pas été suffisamment opérationnels notamment encordées à 2.","L'encordement sans hésitation m'a sans doute énormément préservé. Ainsi que le port de casque et d'équipement adapté (manche longues, gants, sac clippé...)
Mon expérience et ma connaissance des technique de sécurité et de sauvetage.
L'entente, la communication et la confiance entre nous.
L'alerte donnée et l'arrivée des secours qui a abrégé nos tentatives d'auto-sauvetage.","Mauvais choix d'avoir choisi le hissage par mouflage. A deux il aurait été préférable de choisir la remontée sur corde. L'autre restant assis sur le corps mort par sécurité surtout dans cette neige très molle. ","Cet événement m'apporte une réflexion sur les choix à faire lors de ce type de sauvetage. Il me permet de peser très concrètement les avantages et les inconvénients des différentes techniques en réelle situation. 
Il me conforte également sur l'importance de suivre à la lettre les règles de sécurité sur glacier.","Entorse au genou qui m'a conduit à annuler d'autres sortie alpi cette saison. Bien remis après 2 mois d’atèle et de rééducation.
Je connaissais ces risques et avait accepté l'idée d'y être éventuellement confrontée. 

",,,
